launchangle,launchspeed,pitchtype,events
35,74,Curveball,out
82,67,Slider,out
22,88,Slider,out
8,108,Four-Seam Fastball,out
-13,97,Curveball,out
-34,60,Slider,out
-35,68,Changeup,out
-10,101,Slider,out
26,86,Four-Seam Fastball,out
40,76,Slider,out
55,92,Four-Seam Fastball,out
-19,62,Slider,out
-21,82,Slider,out
44,84,Four-Seam Fastball,out
33,76,Four-Seam Fastball,out
-30,60,Slider,out
26,79,Four-Seam Fastball,out
-7,96,Slider,out
4,74,Curveball,out
32,80,Four-Seam Fastball,out
-51,63,Changeup,out
11,74,Curveball,out
46,85,Four-Seam Fastball,out
-12,70,Slider,out
69,80,Slider,out
44,89,Slider,out
-23,81,Four-Seam Fastball,out
1,104,Changeup,out
19,99,Four-Seam Fastball,out
-30,81,Slider,out
79,76,Four-Seam Fastball,out
17,101,Slider,out
54,90,Curveball,out
33,91,Slider,out
11,81,Curveball,out
-36,62,Changeup,out
-29,77,Slider,out
-3,83,Four-Seam Fastball,out
-4,97,Slider,out
69,80,Slider,out
2,90,Curveball,out
69,80,Four-Seam Fastball,out
67,85,Slider,out
9,106,Slider,out
69,80,Curveball,out
-12,92,Four-Seam Fastball,out
-30,65,Slider,out
17,95,Four-Seam Fastball,out
-16,101,Four-Seam Fastball,out
-4,93,Four-Seam Fastball,out
6,104,Curveball,out
23,89,Changeup,out
-32,80,Four-Seam Fastball,out
69,80,Four-Seam Fastball,out
50,89,Slider,out
9,94,Curveball,out
-25,69,Curveball,out
17,97,Four-Seam Fastball,out
29,75,Slider,out
22,52,Slider,out
55,52,Four-Seam Fastball,out
53,80,Four-Seam Fastball,out
-10,103,Four-Seam Fastball,out
33,92,Slider,out
69,80,Four-Seam Fastball,out
-14,86,Four-Seam Fastball,out
40,79,Curveball,out
3,95,Four-Seam Fastball,out
-25,63,Slider,out
34,79,Four-Seam Fastball,out
31,80,Four-Seam Fastball,out
24,88,Changeup,out
57,97,Four-Seam Fastball,out
-19,59,Slider,out
24,80,Slider,out
0,71,Slider,out
39,80,Curveball,out
75,51,Four-Seam Fastball,out
24,97,Four-Seam Fastball,out
47,87,Curveball,out
11,102,Curveball,out
69,80,Changeup,out
21,92,Four-Seam Fastball,out
27,80,Changeup,out
-14,91,Slider,out
21,102,Four-Seam Fastball,out
33,77,Slider,out
-40,77,Curveball,out
32,89,Slider,out
34,95,Four-Seam Fastball,out
28,80,Slider,out
69,80,Curveball,out
-27,100,Slider,out
40,89,Changeup,out
2,93,Slider,out
-21,68,Slider,out
69,80,Four-Seam Fastball,out
52,83,Slider,out
69,80,Four-Seam Fastball,out
25,88,Slider,out
2,101,Curveball,out
69,80,Four-Seam Fastball,out
-45,80,Curveball,out
69,80,Four-Seam Fastball,out
52,90,Slider,out
42,71,Four-Seam Fastball,out
-2,82,Slider,out
69,80,Four-Seam Fastball,out
37,100,Curveball,out
19,102,Four-Seam Fastball,out
51,81,Curveball,out
31,95,Slider,out
-21,82,Slider,out
34,99,Four-Seam Fastball,out
-28,78,Curveball,out
30,81,Curveball,out
-25,68,Curveball,out
-9,99,Slider,out
15,66,Slider,out
-4,80,Slider,out
44,92,Slider,out
69,80,Slider,out
69,80,Changeup,out
45,97,Slider,out
41,78,Four-Seam Fastball,out
-57,55,Slider,out
22,93,Four-Seam Fastball,out
-21,82,Curveball,out
20,91,Four-Seam Fastball,out
46,69,Changeup,out
-54,62,Changeup,out
34,100,Slider,out
57,86,Four-Seam Fastball,out
-50,65,Slider,out
38,100,Four-Seam Fastball,out
9,64,Curveball,out
-7,78,Slider,out
77,67,Slider,out
33,85,Four-Seam Fastball,out
41,86,Curveball,out
53,92,Four-Seam Fastball,out
8,105,Four-Seam Fastball,out
37,83,Slider,out
10,102,Curveball,out
32,87,Slider,out
-26,76,Slider,out
11,91,Curveball,out
51,73,Slider,out
18,103,Four-Seam Fastball,out
20,86,Slider,out
57,67,Slider,out
5,72,Slider,out
39,98,Curveball,out
-43,50,Slider,out
56,89,Slider,out
35,85,Four-Seam Fastball,out
-30,75,Four-Seam Fastball,out
60,82,Four-Seam Fastball,out
-26,64,Curveball,out
-15,76,Four-Seam Fastball,out
37,96,Four-Seam Fastball,out
52,100,Four-Seam Fastball,out
41,83,Slider,out
24,89,Changeup,out
53,94,Four-Seam Fastball,out
7,92,Slider,out
14,76,Slider,single
13,97,Slider,single
3,99,Slider,single
21,84,Curveball,single
6,89,Curveball,single
0,104,Four-Seam Fastball,single
17,86,Slider,single
-48,69,Slider,single
4,104,Four-Seam Fastball,single
20,84,Four-Seam Fastball,single
15,93,Curveball,single
14,97,Four-Seam Fastball,single
28,78,Slider,single
13,100,Four-Seam Fastball,single
13,98,Four-Seam Fastball,single
21,97,Slider,single
5,94,Curveball,single
-19,95,Four-Seam Fastball,single
10,97,Four-Seam Fastball,single
4,89,Curveball,single
16,96,Curveball,single
26,66,Slider,single
7,95,Four-Seam Fastball,single
-37,62,Curveball,single
21,69,Curveball,single
27,67,Four-Seam Fastball,single
14,73,Slider,single
7,93,Curveball,single
14,82,Slider,single
-3,101,Four-Seam Fastball,single
20,83,Curveball,single
12,79,Slider,single
-10,41,Slider,single
15,79,Changeup,single
13,93,Slider,single
14,91,Slider,single
10,98,Four-Seam Fastball,single
19,85,Four-Seam Fastball,single
5,94,Curveball,single
17,84,Four-Seam Fastball,single
31,66,Slider,single
19,98,Four-Seam Fastball,single
15,92,Four-Seam Fastball,single
12,90,Four-Seam Fastball,single
31,67,Slider,single
-16,91,Curveball,single
11,89,Slider,single
8,102,Slider,single
14,91,Four-Seam Fastball,single
14,82,Four-Seam Fastball,single
1,105,Four-Seam Fastball,single
10,93,Four-Seam Fastball,single
36,54,Slider,single
3,87,Curveball,single
-14,93,Four-Seam Fastball,single
33,64,Slider,single
-6,103,Four-Seam Fastball,single
11,97,Four-Seam Fastball,single
6,100,Four-Seam Fastball,single
12,95,Four-Seam Fastball,single
-2,88,Curveball,single
14,90,Curveball,single
6,102,Curveball,single
19,102,Slider,triple
24,97,Four-Seam Fastball,triple
2,97,Four-Seam Fastball,triple
23,100,Four-Seam Fastball,triple
16,106,Four-Seam Fastball,triple
18,105,Four-Seam Fastball,triple
30,96,Four-Seam Fastball,triple
