Pitcher,PitchNumber,Velocity
League Average,93,91.63143564
League Average,94,91.53223958
League Average,95,91.60091146
League Average,96,91.65625344
League Average,97,91.77892958
League Average,98,91.75569405
League Average,99,91.79906344
League Average,100,91.83093939
League Average,101,91.81046667
League Average,102,91.96872792
League Average,103,91.82407143
League Average,104,91.97287938
League Average,105,92.05719008
League Average,106,91.90318584
League Average,107,92.15706977
League Average,108,92.28965517
League Average,109,92.58387283
League Average,110,92.49910828
League Average,111,92.71992806
League Average,112,92.87629032
League Average,113,93.14160714
League Average,114,93.20595745
League Average,115,92.87730769
League Average,116,93.01301587
League Average,117,93.07018868
League Average,118,93.26851064
League Average,119,92.40825
League Average,120,93.21310345
