launchangle,launchspeed,pitchtype,outcome,bbtype
-30,84,Curveball,out,ground_ball
4,103,Four-Seam Fastball,out,ground_ball
49,79,Slider,out,fly_ball
-3,47,Slider,out,ground_ball
2,63,Curveball,out,ground_ball
-14,78,Slider,out,ground_ball
8,79,Changeup,out,ground_ball
46,97,Four-Seam Fastball,out,fly_ball
-1,65,Changeup,out,ground_ball
69,80,Four-Seam Fastball,out,popup
-8,89,Four-Seam Fastball,out,ground_ball
5,103,Curveball,out,ground_ball
-33,55,Slider,out,ground_ball
51,91,Four-Seam Fastball,out,fly_ball
21,86,Slider,out,line_drive
39,93,Four-Seam Fastball,out,fly_ball
69,80,Four-Seam Fastball,out,popup
4,97,Curveball,out,ground_ball
69,80,Slider,out,popup
34,95,Slider,out,fly_ball
-21,92,Slider,out,ground_ball
-13,60,Slider,out,ground_ball
36,101,Four-Seam Fastball,out,fly_ball
82,87,Slider,out,popup
-27,77,Slider,out,ground_ball
69,80,Slider,out,popup
-2,77,Slider,out,ground_ball
-4,87,Slider,out,ground_ball
39,89,Four-Seam Fastball,out,fly_ball
-22,59,Slider,out,ground_ball
-20,86,Slider,out,ground_ball
43,82,Slider,out,fly_ball
-8,90,Curveball,out,ground_ball
69,80,Slider,out,popup
-17,90,Curveball,out,ground_ball
33,97,Curveball,out,fly_ball
-19,87,Slider,out,ground_ball
-21,82,Slider,out,ground_ball
-19,81,Curveball,out,ground_ball
47,80,Four-Seam Fastball,out,fly_ball
52,80,Slider,out,fly_ball
8,108,Four-Seam Fastball,out,line_drive
-22,85,Curveball,out,ground_ball
20,98,Four-Seam Fastball,out,line_drive
-29,78,Slider,out,ground_ball
-23,94,Slider,out,ground_ball
38,91,Four-Seam Fastball,out,fly_ball
38,101,Four-Seam Fastball,out,fly_ball
38,91,Slider,out,fly_ball
-19,62,Slider,out,ground_ball
44,75,Four-Seam Fastball,out,fly_ball
25,92,Curveball,out,line_drive
-2,103,Four-Seam Fastball,out,ground_ball
37,97,Curveball,out,fly_ball
34,57,Four-Seam Fastball,out,line_drive
69,80,Four-Seam Fastball,out,popup
7,76,Curveball,out,ground_ball
32,80,Four-Seam Fastball,out,fly_ball
17,88,Slider,out,line_drive
30,93,Four-Seam Fastball,out,fly_ball
2,93,Slider,out,ground_ball
69,80,Slider,out,popup
15,61,Four-Seam Fastball,out,line_drive
56,98,Changeup,out,fly_ball
-56,54,Slider,out,ground_ball
1,104,Changeup,out,ground_ball
5,92,Four-Seam Fastball,out,ground_ball
49,71,Slider,out,popup
-7,95,Four-Seam Fastball,out,ground_ball
18,97,Slider,out,line_drive
35,74,Curveball,out,fly_ball
82,67,Slider,out,popup
22,88,Slider,out,line_drive
-36,62,Changeup,out,ground_ball
-13,97,Curveball,out,ground_ball
-34,60,Slider,out,ground_ball
-35,68,Changeup,out,ground_ball
-10,101,Slider,out,ground_ball
26,86,Four-Seam Fastball,out,line_drive
40,76,Slider,out,fly_ball
55,92,Four-Seam Fastball,out,fly_ball
9,106,Slider,out,line_drive
-21,82,Slider,out,ground_ball
6,59,Slider,out,ground_ball
33,76,Four-Seam Fastball,out,fly_ball
-30,60,Slider,out,ground_ball
26,79,Four-Seam Fastball,out,line_drive
-7,78,Slider,out,ground_ball
4,74,Curveball,out,ground_ball
23,89,Changeup,out,line_drive
-51,63,Changeup,out,ground_ball
33,85,Four-Seam Fastball,out,fly_ball
46,85,Four-Seam Fastball,out,fly_ball
-12,70,Slider,out,ground_ball
69,80,Slider,out,popup
-7,96,Slider,out,ground_ball
-23,81,Four-Seam Fastball,out,ground_ball
22,52,Slider,out,ground_ball
19,99,Four-Seam Fastball,out,line_drive
11,74,Curveball,out,line_drive
79,76,Four-Seam Fastball,out,popup
17,101,Slider,out,line_drive
54,90,Curveball,out,fly_ball
44,89,Slider,out,fly_ball
69,80,Four-Seam Fastball,out,popup
3,95,Four-Seam Fastball,out,ground_ball
-29,77,Slider,out,ground_ball
-30,81,Slider,out,ground_ball
28,80,Slider,out,line_drive
69,80,Slider,out,popup
16,99,Slider,out,line_drive
33,91,Slider,out,fly_ball
57,86,Four-Seam Fastball,out,popup
-26,78,Curveball,out,ground_ball
2,90,Curveball,out,ground_ball
-3,83,Four-Seam Fastball,out,ground_ball
43,94,Four-Seam Fastball,out,fly_ball
11,91,Curveball,out,line_drive
69,80,Curveball,out,popup
69,80,Four-Seam Fastball,out,popup
40,79,Curveball,out,fly_ball
28,91,Slider,out,line_drive
-16,101,Four-Seam Fastball,out,ground_ball
-12,92,Four-Seam Fastball,out,ground_ball
31,80,Four-Seam Fastball,out,fly_ball
51,73,Slider,out,fly_ball
-32,80,Four-Seam Fastball,out,ground_ball
-4,93,Four-Seam Fastball,out,ground_ball
24,80,Slider,out,line_drive
6,68,Four-Seam Fastball,out,ground_ball
-25,69,Curveball,out,ground_ball
69,80,Four-Seam Fastball,out,popup
24,97,Four-Seam Fastball,out,line_drive
33,92,Slider,out,fly_ball
55,52,Four-Seam Fastball,out,popup
17,97,Four-Seam Fastball,out,line_drive
21,92,Four-Seam Fastball,out,line_drive
28,100,Four-Seam Fastball,out,fly_ball
69,80,Four-Seam Fastball,out,popup
